Date;Mkt.RF;SMB;HML;RMW;CMA;Mom;Afkast.RF
20080225;1,46;0,5;-0,06;0,24;-0,1;0,08;1,374262
20080226;0,72;0,46;-0,09;0,37;0,2;-0,43;0,684792
20080227;-0,11;-0,05;-0,24;-0,15;-0,13;-0,09;-0,09894
20080228;-0,93;-0,44;-0,48;0,2;-0,6;2,41;-0,90119
20080229;-2,64;-0,03;-0,16;-0,33;0,13;1,03;-2,71597
20080303;-0,04;-0,21;-0,35;0,82;0,29;0,95;0,044358
20080304;-0,36;-0,11;-0,05;-0,05;0,43;0,16;-0,35377
20080305;0,56;-0,2;-0,36;0,23;-0,08;1,08;0,514836
20080306;-2,26;-0,5;-0,24;0,01;0,32;1,91;-2,21039
20080307;-0,88;0,26;0,59;0,05;0,43;-0,53;-0,85004
20080310;-1,72;-0,66;0,5;0,62;0,74;0,74;-1,55535
20080311;3,57;0,38;0,22;0,24;-0,32;-1,06;3,703982
20080312;-0,77;0,07;-0,81;-0,26;-0,2;0,86;0,890557
20080313;0,65;1,31;-0,21;0,44;-0,37;0,49;0,503695
20080314;-2,07;-0,29;-0,26;0,13;0,17;1,23;-2,08733
20080317;-1,21;-0,83;0,51;-0,1;1,05;1,07;-0,90487
20080318;4,09;0,18;-0,25;0,32;-0,69;-2,53;4,231953
20080319;-2,37;-0,07;0,2;-0,86;0,54;-0,97;2,419724
20080320;2,3;-0,01;0,75;0,19;-0,27;-3,54;2,385449
20080324;1,71;1,11;-0,61;-0,32;-0,94;-1,34;1,523143
20080325;0,38;0,39;-0,17;-0,08;0,02;0,68;0,221391
20080326;-0,82;0,59;-0,49;0,38;-0,55;2,39;-0,88558
20080327;-1,13;-0,21;0,02;-0,53;0,29;0,86;-1,15505
20080328;-0,82;-0,47;0,26;-0,06;-0,26;1,74;-0,80402
20080331;0,57;0,11;0,59;-0,06;-0,23;-0,88;0,559726
20080401;3,37;-0,62;0,05;0;-0,23;-3,05;3,581627
20080402;-0,09;0,5;-0,14;0,18;-0,32;0,2;0,185405
20080403;0,14;-0,09;-0,06;-0,27;0,12;-0,12;0,122162
20080404;0,16;0;-0,46;-0,04;-0,01;1,13;0,071602
20080407;0,14;-0,38;0,49;-0,12;0,05;-0,5;0,148159
20080408;-0,34;0,35;-0,05;0,26;-0,37;1,39;-0,518
20080409;-0,96;-0,87;-0,22;0,15;-0,09;1,79;-0,8172
20080410;0,53;0,6;-0,55;-0,08;0,1;0,23;0,439401
20080411;-2,02;-0,55;0,54;0,29;0,12;0,12;-2,04541
20080414;-0,38;0,12;-0,32;0,6;-0,12;1,42;-0,34638
20080415;0,46;0,34;0,27;0,44;0;0,25;0,45198
20080416;2,27;0,55;0,15;0,07;0,01;0,35;2,261134
20080417;-0,1;-0,79;0,34;-0,03;-0,01;-0,9;-0,07028
20080418;1,67;0,12;-0,66;0,35;-0,36;-0,94;1,805908
20080421;-0,17;-0,17;-0,55;0,19;-0,47;0,9;-0,16336
20080422;-0,97;-1,06;0,29;0,14;-0,39;1,08;-0,88902
20080423;0,26;0,12;-1,16;-0,1;0,24;0,32;0,281984
20080424;0,66;0,58;0,38;-0,41;0,42;-2,68;0,636236
20080425;0,68;-0,03;0,17;0,32;-0,56;-0,89;0,641472
20080428;-0,03;0,6;0,19;-0,03;-0,17;-0,26;-0,11316
20080429;-0,36;-0,39;0,34;-0,48;-0,23;-0,9;-0,39687
20080430;-0,3;-0,08;0,09;-0,16;-0,26;0,83;-0,39263
20080501;1,66;0,07;0,23;-0,88;0,5;-2,12;1,706071
20080502;0,2;-0,71;0,02;0,21;-0,24;0,15;0,315556
20080505;-0,41;0,35;-0,13;0,78;0;1,11;-0,46136
20080506;0,75;0,02;0,29;0,1;-0,19;-0,03;0,757192
20080507;-1,66;0,01;-0,18;0,37;0,4;1,17;-1,81937
20080508;0,37;0,06;-0,16;-0,15;-0,09;1,2;0,358947
20080509;-0,54;0,66;-0,25;0,18;-0,04;0,4;-0,68054
20080512;1,1;0,67;-0,34;0,07;0,39;-0,52;1,094083
20080513;0,09;0,61;-0,04;0,21;-0,1;0,76;-0,04647
20080514;0,38;-0,45;0,17;-0,22;0,32;-0,94;0,392559
20080515;1,02;-0,09;-0,3;0,08;0,15;-0,43;1,050453
20080516;0,1;-0,36;0,03;0,29;-0,48;0,92;0,117038
20080519;-0,02;-0,22;0,25;0,16;-0,2;0,21;0,081803
20080520;-0,8;0,56;-0,17;0,44;-0,32;1,23;-0,93536
20080521;-1,56;0,48;0,18;0,09;0,42;1,03;-1,61335
20080522;0,38;0,26;-0,04;-0,42;0,26;-0,62;0,253737
20080523;-1,24;0,08;-0,37;-0,16;-0,14;0,83;-1,32905
20080527;0,72;0,59;-0,22;-0,24;0,15;-0,21;0,676628
20080528;0,49;0,02;-0,07;0,23;-0,2;0,73;0,38829
20080529;0,61;0,29;-0,25;-0,53;0,11;-1,09;0,525491
20080530;0,29;0,28;0;0,11;-0,52;0,44;0,143617
20080602;-0,98;0,17;0,24;0,44;-0,06;0,71;-1,05843
20080603;-0,46;0,23;0,02;-0,29;0,13;-0,21;-0,58678
20080604;0,02;0,52;-0,74;-0,29;0,26;-0,06;-0,04066
20080605;1,95;0,42;-0,09;0,65;-0,55;0,45;1,941608
20080606;-2,9;0,14;-0,03;0,15;-0,46;1,8;3,080921
20080609;-0,03;-0,55;-0,22;0,93;0;2,04;0,071372
20080610;-0,31;0;-0,21;0,07;0,44;-0,49;-0,2518
20080611;-1,66;-0,17;-0,15;0,4;-0,18;1,97;-1,69744
20080612;0,31;-0,01;-0,06;-0,23;0,56;-0,67;0,31997
20080613;1,55;0,31;-0,35;0,07;-0,13;-0,31;1,496624
20080616;0,15;0,87;-0,19;0,08;-0,4;-0,15;-0,016088
20080617;-0,55;0,11;-0,25;0,41;-0,38;1,65;-0,68514
20080618;-0,96;0,25;0,26;0,33;0,09;1,24;-0,97918
20080619;0,34;0,44;-0,58;-0,04;0,45;-0,51;0,36724
20080620;-1,79;0,36;0,07;0,34;0;1,48;-1,86229
20080623;-0,16;-0,59;-0,31;1;-0,24;3,17;-0,0026886
20080624;-0,54;-1,19;0,28;-0,28;0,3;-1,27;-0,28949
20080625;0,64;0,29;-0,44;-0,42;0,18;-0,84;0,576346
20080626;-2,83;0,57;0,13;0,28;-0,1;1,91;2,928527
20080627;-0,37;0,22;-0,42;0,52;-0,34;0,94;-0,37974
20080630;-0,07;-1,12;0,32;0,52;-0,04;1,91;0,118723
20080701;0,29;-0,4;0,27;0,25;-0,45;0,5;-0,39059
20080702;-2;-0,84;0,12;-0,12;0,22;0,06;1,813361
20080703;-0,15;-0,69;-0,17;0,41;0,21;0,23;0,102392
20080707;-0,81;-0,16;-1,1;0,18;0,23;1,03;0,831546
20080708;1,84;1,39;2,36;-1,05;0,27;-2,99;1,701044
20080709;-2,06;-0,33;-1,32;0,36;0,11;2,42;2,270616
20080710;0,65;-0,14;-1,23;0,64;-0,4;3,18;0,691969
20080711;-0,88;1,27;-1,11;-0,05;0,08;1,68;1,101992
20080714;-0,93;-0,55;-2,43;0,72;-0,2;2,63;-0,90979
20080715;-0,96;0,87;-1,15;0,27;0,56;0,16;-1,09712
20080716;2,52;0,95;4,75;-1,11;-0,01;-5,83;2,499358
20080717;1,13;0,68;4,11;-1,14;0,41;-5,73;-1,20826
20080718;-0,08;-0,5;1,09;0,04;0,03;-0,58;-0,03556
20080721;0,16;0,27;-0,57;-0,07;-0,48;0,76;0,046939
20080722;1,37;1,5;3,16;-0,75;0,09;-4,35;-1,35621
20080723;0,32;0,24;1,6;-0,39;0,5;-3,83;-0,41342
20080724;-2,31;0,1;-2,87;1;-0,09;3,83;2,30545
20080725;0,47;0,67;-0,99;0,26;-0,36;1,31;0,409753
20080728;-1,76;-0,18;-1,38;0,82;0,06;2,51;1,852655
20080729;2,27;0,24;3,17;-0,65;0,24;-3,94;2,328604
20080730;1,58;-1,25;-0,15;0,23;-0,31;1,3;-1,67419
20080731;-1,16;0,62;0,38;-1;0,42;-0,93;1,307376
